GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
42049,"Erie County, Pennsylvania",135331,4.4
42051,"Fayette County, Pennsylvania",61386,5.6
42055,"Franklin County, Pennsylvania",80379,4.0
42063,"Indiana County, Pennsylvania",38758,4.1
42069,"Lackawanna County, Pennsylvania",105492,3.1
42071,"Lancaster County, Pennsylvania",282268,3.7
42073,"Lawrence County, Pennsylvania",42578,7.0
42075,"Lebanon County, Pennsylvania",73069,3.8
42077,"Lehigh County, Pennsylvania",190221,6.2
42079,"Luzerne County, Pennsylvania",159809,5.1
42081,"Lycoming County, Pennsylvania",54624,5.2
42085,"Mercer County, Pennsylvania",51194,5.3
42089,"Monroe County, Pennsylvania",84517,6.7
42091,"Montgomery County, Pennsylvania",457856,4.1
42095,"Northampton County, Pennsylvania",155648,4.5
42097,"Northumberland County, Pennsylvania",44297,4.9
42101,"Philadelphia County, Pennsylvania",778281,8.2
42107,"Schuylkill County, Pennsylvania",66459,6.1
42111,"Somerset County, Pennsylvania",33729,5.0
42125,"Washington County, Pennsylvania",108187,4.3
42129,"Westmoreland County, Pennsylvania",178432,3.6
42133,"York County, Pennsylvania",234650,4.5
44003,"Kent County, Rhode Island",88419,3.4
44005,"Newport County, Rhode Island",45934,4.9
44007,"Providence County, Rhode Island",331463,5.8
44009,"Washington County, Rhode Island",70497,7.0
45003,"Aiken County, South Carolina",79602,5.2
45007,"Anderson County, South Carolina",97942,5.0
45013,"Beaufort County, South Carolina",86158,3.0
45015,"Berkeley County, South Carolina",112104,4.6
45019,"Charleston County, South Carolina",217396,2.8
45031,"Darlington County, South Carolina",26601,8.7
45035,"Dorchester County, South Carolina",85156,5.3
45041,"Florence County, South Carolina",65018,4.8
45045,"Greenville County, South Carolina",267091,3.9
45047,"Greenwood County, South Carolina",34145,6.5
45051,"Horry County, South Carolina",158837,5.1
45055,"Kershaw County, South Carolina",30719,4.7
45057,"Lancaster County, South Carolina",44317,3.5
45059,"Laurens County, South Carolina",29925,8.0
45063,"Lexington County, South Carolina",150244,5.5
45073,"Oconee County, South Carolina",31660,5.9
45075,"Orangeburg County, South Carolina",37542,7.2
45077,"Pickens County, South Carolina",60776,5.1
45079,"Richland County, South Carolina",220737,6.8
45083,"Spartanburg County, South Carolina",153623,6.1
45085,"Sumter County, South Carolina",49842,7.0
45091,"York County, South Carolina",142907,4.2
46099,"Minnehaha County, South Dakota",112051,2.8
46103,"Pennington County, South Dakota",58765,3.0
47001,"Anderson County, Tennessee",34510,5.3
47009,"Blount County, Tennessee",64449,4.1
47011,"Bradley County, Tennessee",53350,4.8
47037,"Davidson County, Tennessee",404317,3.5
47059,"Greene County, Tennessee",31044,4.4
47065,"Hamilton County, Tennessee",188511,5.6
47093,"Knox County, Tennessee",244010,4.1
47113,"Madison County, Tennessee",47242,5.5
47119,"Maury County, Tennessee",46736,4.8
47125,"Montgomery County, Tennessee",100934,7.0
47141,"Putnam County, Tennessee",38931,5.8
47147,"Robertson County, Tennessee",37111,4.5
47149,"Rutherford County, Tennessee",183623,5.7
47155,"Sevier County, Tennessee",46460,5.9
47157,"Shelby County, Tennessee",468617,7.9
47163,"Sullivan County, Tennessee",68125,5.9
47165,"Sumner County, Tennessee",96559,2.8
47179,"Washington County, Tennessee",61438,3.4
47187,"Williamson County, Tennessee",122629,2.6
47189,"Wilson County, Tennessee",73480,2.9
48005,"Angelina County, Texas",37309,5.6
48021,"Bastrop County, Texas",40384,5.6
48027,"Bell County, Texas",174861,7.4
48029,"Bexar County, Texas",991622,5.6
48037,"Bowie County, Texas",38852,4.9
48039,"Brazoria County, Texas",176798,4.0
48041,"Brazos County, Texas",108007,3.8
48061,"Cameron County, Texas",171990,5.0
48085,"Collin County, Texas",546972,3.6
48091,"Comal County, Texas",66616,3.3
48099,"Coryell County, Texas",31862,6.8
48113,"Dallas County, Texas",1393603,4.3
48121,"Denton County, Texas",489053,4.0
48135,"Ector County, Texas",79507,4.4
48139,"Ellis County, Texas",92428,3.3
48141,"El Paso County, Texas",398972,6.3
48157,"Fort Bend County, Texas",404231,5.1
48167,"Galveston County, Texas",173588,7.1
48181,"Grayson County, Texas",64949,5.2
48183,"Gregg County, Texas",59273,4.8
48187,"Guadalupe County, Texas",81010,3.1
48201,"Harris County, Texas",2406064,5.6
48203,"Harrison County, Texas",30641,4.8
48209,"Hays County, Texas",120634,6.2
48213,"Henderson County, Texas",31763,5.8
48215,"Hidalgo County, Texas",361040,6.3
48231,"Hunt County, Texas",46255,5.0
48245,"Jefferson County, Texas",109146,3.9
48251,"Johnson County, Texas",81374,3.6
48257,"Kaufman County, Texas",65997,6.9
48291,"Liberty County, Texas",33591,4.2
48303,"Lubbock County, Texas",157100,3.2
48309,"McLennan County, Texas",120091,3.6
48329,"Midland County, Texas",92768,1.6
48339,"Montgomery County, Texas",295365,3.7
48347,"Nacogdoches County, Texas",28264,5.9
48355,"Nueces County, Texas",176136,5.9
48361,"Orange County, Texas",40403,3.8
48367,"Parker County, Texas",66144,4.8
48375,"Potter County, Texas",54395,3.4
48381,"Randall County, Texas",75393,3.2
48397,"Rockwall County, Texas",53126,5.3
48409,"San Patricio County, Texas",29697,5.3
48423,"Smith County, Texas",110873,5.5
48439,"Tarrant County, Texas",1098232,4.7
48441,"Taylor County, Texas",68340,4.0
48451,"Tom Green County, Texas",59840,4.8
48453,"Travis County, Texas",734800,3.8
48469,"Victoria County, Texas",42457,6.6
48471,"Walker County, Texas",24933,3.6
48479,"Webb County, Texas",116423,5.3
48485,"Wichita County, Texas",64354,6.0
48491,"Williamson County, Texas",304256,5.0
48497,"Wise County, Texas",33589,3.5
49005,"Cache County, Utah",64804,2.3
49011,"Davis County, Utah",171955,2.9
49035,"Salt Lake County, Utah",620315,3.3
49045,"Tooele County, Utah",34437,3.8
49049,"Utah County, Utah",300298,3.2
49053,"Washington County, Utah",70929,2.5
49057,"Weber County, Utah",131338,3.5
50007,"Chittenden County, Vermont",97201,3.7
51003,"Albemarle County, Virginia",53657,1.4
51013,"Arlington County, Virginia",159306,2.0
51015,"Augusta County, Virginia",36389,2.6
51019,"Bedford County, Virginia",38582,3.2
51041,"Chesterfield County, Virginia",185312,4.9
51059,"Fairfax County, Virginia",653562,3.7
51061,"Fauquier County, Virginia",38217,2.9
51069,"Frederick County, Virginia",45864,2.1
51085,"Hanover County, Virginia",57039,2.4
51087,"Henrico County, Virginia",180702,3.0
51095,"James City County, Virginia",36093,3.5
51107,"Loudoun County, Virginia",228691,3.4
51121,"Montgomery County, Virginia",43004,4.1
51153,"Prince William County, Virginia",259679,4.0
51161,"Roanoke County, Virginia",47339,1.5
51165,"Rockingham County, Virginia",41092,1.9
51177,"Spotsylvania County, Virginia",71690,4.2
51179,"Stafford County, Virginia",82325,4.2
51199,"York County, Virginia",35159,5.6
51510,"Alexandria city, Virginia",102411,2.8
51550,"Chesapeake city, Virginia",125191,3.9
51650,"Hampton city, Virginia",70363,6.4
51680,"Lynchburg city, Virginia",38329,6.9
51700,"Newport News city, Virginia",94013,3.0
51710,"Norfolk city, Virginia",139297,7.6
51740,"Portsmouth city, Virginia",46474,6.5
51760,"Richmond city, Virginia",124982,4.4
51770,"Roanoke city, Virginia",50796,7.2
51800,"Suffolk city, Virginia",48965,8.4
51810,"Virginia Beach city, Virginia",251888,4.2
53005,"Benton County, Washington",93863,4.9
53007,"Chelan County, Washington",39158,2.0
53009,"Clallam County, Washington",32932,5.2
53011,"Clark County, Washington",247061,4.2
53015,"Cowlitz County, Washington",50611,5.6
53021,"Franklin County, Washington",44315,7.6
53025,"Grant County, Washington",45004,2.9
53027,"Grays Harbor County, Washington",27600,4.6
53029,"Island County, Washington",39182,7.3
53033,"King County, Washington",1285427,3.9
53035,"Kitsap County, Washington",140370,4.2
53041,"Lewis County, Washington",34306,6.8
53045,"Mason County, Washington",28311,4.6
53053,"Pierce County, Washington",460813,4.2
53057,"Skagit County, Washington",62430,5.4
53061,"Snohomish County, Washington",440623,3.1
53063,"Spokane County, Washington",254055,4.6
53067,"Thurston County, Washington",142984,4.9
53073,"Whatcom County, Washington",112678,4.7
53077,"Yakima County, Washington",111688,5.1
54003,"Berkeley County, West Virginia",60870,5.4
54011,"Cabell County, West Virginia",40025,5.3
54033,"Harrison County, West Virginia",31285,7.5
54039,"Kanawha County, West Virginia",80054,5.1
54061,"Monongalia County, West Virginia",57009,6.5
54081,"Raleigh County, West Virginia",29760,6.1
54107,"Wood County, West Virginia",37846,3.8
55009,"Brown County, Wisconsin",141160,2.2
55025,"Dane County, Wisconsin",317995,1.7
55027,"Dodge County, Wisconsin",48521,3.2
55035,"Eau Claire County, Wisconsin",57101,3.9
55039,"Fond du Lac County, Wisconsin",54976,3.2
55055,"Jefferson County, Wisconsin",49258,3.0
55059,"Kenosha County, Wisconsin",93086,6.5
55063,"La Crosse County, Wisconsin",65270,3.7
55071,"Manitowoc County, Wisconsin",40098,1.3
55073,"Marathon County, Wisconsin",72931,2.5
55079,"Milwaukee County, Wisconsin",483574,4.5
55087,"Outagamie County, Wisconsin",102132,2.9
55089,"Ozaukee County, Wisconsin",49949,3.2
55097,"Portage County, Wisconsin",38168,3.4
55101,"Racine County, Wisconsin",99668,3.9
55105,"Rock County, Wisconsin",87722,4.6
55109,"St. Croix County, Wisconsin",50835,2.1
55117,"Sheboygan County, Wisconsin",61098,3.1
55127,"Walworth County, Wisconsin",56974,2.5
55131,"Washington County, Wisconsin",74917,3.0
55133,"Waukesha County, Wisconsin",219327,2.3
55139,"Winnebago County, Wisconsin",91487,3.8
55141,"Wood County, Wisconsin",36840,2.6
56021,"Laramie County, Wyoming",49996,4.3
56025,"Natrona County, Wyoming",42827,2.6
72013,"Arecibo Municipio, Puerto Rico",28720,18.6
72021,"Bayamón Municipio, Puerto Rico",68568,12.0
72025,"Caguas Municipio, Puerto Rico",51057,11.5
72031,"Carolina Municipio, Puerto Rico",65050,16.4
72061,"Guaynabo Municipio, Puerto Rico",38183,7.3
72097,"Mayagüez Municipio, Puerto Rico",21043,26.0
72113,"Ponce Municipio, Puerto Rico",41901,11.2
72127,"San Juan Municipio, Puerto Rico",145428,15.7
72135,"Toa Alta Municipio, Puerto Rico",29500,5.8
72137,"Toa Baja Municipio, Puerto Rico",31930,14.9
72139,"Trujillo Alto Municipio, Puerto Rico",27139,4.8
