GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
06067,"Sacramento County, California",766790,5.5
06071,"San Bernardino County, California",1025716,6.7
06073,"San Diego County, California",1775600,5.4
06075,"San Francisco County, California",557529,3.7
06077,"San Joaquin County, California",347630,6.0
06079,"San Luis Obispo County, California",136502,4.8
06081,"San Mateo County, California",434900,3.8
06083,"Santa Barbara County, California",225708,5.9
06085,"Santa Clara County, California",1056250,3.9
06087,"Santa Cruz County, California",145162,6.6
06089,"Shasta County, California",75948,8.3
06095,"Solano County, California",229781,4.6
06097,"Sonoma County, California",272789,4.5
06099,"Stanislaus County, California",251698,8.8
06101,"Sutter County, California",44578,9.0
06107,"Tulare County, California",203837,10.3
06111,"Ventura County, California",442085,4.4
06113,"Yolo County, California",104850,5.8
06115,"Yuba County, California",34612,8.3
08001,"Adams County, Colorado",284135,3.4
08005,"Arapahoe County, Colorado",368988,3.8
08013,"Boulder County, Colorado",184954,3.6
08014,"Broomfield County, Colorado",41195,3.1
08031,"Denver County, Colorado",434935,3.6
08035,"Douglas County, Colorado",194615,2.8
08041,"El Paso County, Colorado",385629,5.3
08059,"Jefferson County, Colorado",333890,3.1
08069,"Larimer County, Colorado",194484,4.1
08077,"Mesa County, Colorado",74316,6.3
08101,"Pueblo County, Colorado",75592,6.6
08123,"Weld County, Colorado",167242,4.4
09001,"Fairfield County, Connecticut",512333,6.1
09003,"Hartford County, Connecticut",480175,5.3
09005,"Litchfield County, Connecticut",100445,4.1
09007,"Middlesex County, Connecticut",94609,4.8
09009,"New Haven County, Connecticut",458411,5.6
09011,"New London County, Connecticut",146099,5.6
09013,"Tolland County, Connecticut",80329,4.0
09015,"Windham County, Connecticut",63700,6.7
10001,"Kent County, Delaware",86414,4.4
10003,"New Castle County, Delaware",296744,6.7
10005,"Sussex County, Delaware",106548,4.0
11001,"District of Columbia, District of Columbia",414568,7.5
12001,"Alachua County, Florida",139061,5.8
12005,"Bay County, Florida",91624,5.3
12009,"Brevard County, Florida",271448,4.9
12011,"Broward County, Florida",1028662,5.3
12015,"Charlotte County, Florida",66533,4.7
12017,"Citrus County, Florida",49202,6.8
12019,"Clay County, Florida",106300,7.1
12021,"Collier County, Florida",168154,4.2
12023,"Columbia County, Florida",29931,10.5
12031,"Duval County, Florida",501046,5.6
12033,"Escambia County, Florida",152985,5.9
12035,"Flagler County, Florida",46965,3.3
12053,"Hernando County, Florida",74742,6.8
12055,"Highlands County, Florida",38836,10.9
12057,"Hillsborough County, Florida",743824,5.2
12061,"Indian River County, Florida",65006,6.9
12069,"Lake County, Florida",154031,6.5
12071,"Lee County, Florida",337538,4.4
12073,"Leon County, Florida",158804,6.3
12081,"Manatee County, Florida",179928,4.7
12083,"Marion County, Florida",139883,9.5
12085,"Martin County, Florida",64947,3.2
12086,"Miami-Dade County, Florida",1440469,4.6
12087,"Monroe County, Florida",41264,3.1
12089,"Nassau County, Florida",42065,3.5
12091,"Okaloosa County, Florida",103830,4.8
12095,"Orange County, Florida",734613,4.2
12097,"Osceola County, Florida",186597,6.1
12099,"Palm Beach County, Florida",733747,5.6
12101,"Pasco County, Florida",237328,5.7
12103,"Pinellas County, Florida",490021,5.1
12105,"Polk County, Florida",320294,5.0
12107,"Putnam County, Florida",28284,10.5
12109,"St. Johns County, Florida",122021,3.8
12111,"St. Lucie County, Florida",143112,5.7
12113,"Santa Rosa County, Florida",85761,5.3
12115,"Sarasota County, Florida",184592,3.3
12117,"Seminole County, Florida",256846,4.5
12119,"Sumter County, Florida",30288,2.8
