GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
16005,"Bannock County, Idaho",38208,8.4
16019,"Bonneville County, Idaho",50118,3.8
16027,"Canyon County, Idaho",95416,8.3
16055,"Kootenai County, Idaho",72463,3.6
16083,"Twin Falls County, Idaho",40929,4.9
17001,"Adams County, Illinois",34069,5.9
17019,"Champaign County, Illinois",106475,4.5
17031,"Cook County, Illinois",2750320,8.3
17037,"DeKalb County, Illinois",55541,8.6
17043,"DuPage County, Illinois",514477,4.6
17089,"Kane County, Illinois",281038,5.3
17091,"Kankakee County, Illinois",52558,7.6
17093,"Kendall County, Illinois",N,N
17097,"Lake County, Illinois",382809,5.8
17099,"LaSalle County, Illinois",56343,7.2
17111,"McHenry County, Illinois",170603,4.2
17113,"McLean County, Illinois",95334,3.7
17115,"Macon County, Illinois",51329,6.5
17119,"Madison County, Illinois",133960,7.3
17143,"Peoria County, Illinois",93563,8.5
17161,"Rock Island County, Illinois",74097,6.8
17163,"St. Clair County, Illinois",133493,9.4
17167,"Sangamon County, Illinois",100490,7.1
17179,"Tazewell County, Illinois",68094,4.2
17183,"Vermilion County, Illinois",34510,7.4
17197,"Will County, Illinois",364504,5.9
17199,"Williamson County, Illinois",29440,6.5
17201,"Winnebago County, Illinois",144929,9.4
18003,"Allen County, Indiana",187026,5.9
18005,"Bartholomew County, Indiana",42563,4.8
18019,"Clark County, Indiana",60275,5.7
18035,"Delaware County, Indiana",57067,7.4
18039,"Elkhart County, Indiana",96527,4.0
18043,"Floyd County, Indiana",40019,4.9
18053,"Grant County, Indiana",33197,8.9
18057,"Hamilton County, Indiana",170456,2.7
18059,"Hancock County, Indiana",N,N
18063,"Hendricks County, Indiana",88169,3.4
18067,"Howard County, Indiana",38906,8.6
18081,"Johnson County, Indiana",76222,4.5
18085,"Kosciusko County, Indiana",39248,3.2
18089,"Lake County, Indiana",236019,8.6
18091,"LaPorte County, Indiana",50671,7.8
18095,"Madison County, Indiana",60899,7.0
18097,"Marion County, Indiana",491662,8.0
18105,"Monroe County, Indiana",76472,6.4
18109,"Morgan County, Indiana",34455,7.3
18127,"Porter County, Indiana",81728,6.4
18141,"St. Joseph County, Indiana",131065,5.6
18157,"Tippecanoe County, Indiana",99190,4.5
18163,"Vanderburgh County, Indiana",91228,3.8
18167,"Vigo County, Indiana",52338,11.2
18177,"Wayne County, Indiana",30566,5.9
19013,"Black Hawk County, Iowa",71480,3.2
19049,"Dallas County, Iowa",44427,1.5
19061,"Dubuque County, Iowa",52956,4.5
19103,"Johnson County, Iowa",86858,4.4
19113,"Linn County, Iowa",121918,3.7
19153,"Polk County, Iowa",263574,5.7
19155,"Pottawattamie County, Iowa",49235,3.5
19163,"Scott County, Iowa",87914,3.9
19169,"Story County, Iowa",53270,4.2
19193,"Woodbury County, Iowa",55067,5.3
20015,"Butler County, Kansas",33556,3.6
20045,"Douglas County, Kansas",66837,4.1
20091,"Johnson County, Kansas",323942,3.4
20103,"Leavenworth County, Kansas",37306,3.9
20161,"Riley County, Kansas",43386,8.2
20173,"Sedgwick County, Kansas",258183,4.7
20177,"Shawnee County, Kansas",89619,6.2
20209,"Wyandotte County, Kansas",81694,7.1
21015,"Boone County, Kentucky",69048,5.5
21029,"Bullitt County, Kentucky",39753,6.1
21037,"Campbell County, Kentucky",48632,3.8
21047,"Christian County, Kentucky",33893,7.1
21059,"Daviess County, Kentucky",48664,6.2
21067,"Fayette County, Kentucky",170463,4.8
21093,"Hardin County, Kentucky",53857,7.2
21111,"Jefferson County, Kentucky",399484,6.0
21117,"Kenton County, Kentucky",87539,5.5
21145,"McCracken County, Kentucky",30924,4.4
21151,"Madison County, Kentucky",42840,7.7
21195,"Pike County, Kentucky",24731,7.8
21227,"Warren County, Kentucky",60856,6.9
22005,"Ascension Parish, Louisiana",60629,6.7
22015,"Bossier Parish, Louisiana",62696,5.4
22017,"Caddo Parish, Louisiana",111573,6.1
22019,"Calcasieu Parish, Louisiana",96089,6.3
22033,"East Baton Rouge Parish, Louisiana",235045,6.9
22045,"Iberia Parish, Louisiana",35297,11.8
22051,"Jefferson Parish, Louisiana",226663,5.7
22055,"Lafayette Parish, Louisiana",127126,5.2
22057,"Lafourche Parish, Louisiana",48074,6.4
22063,"Livingston Parish, Louisiana",65791,4.9
22071,"Orleans Parish, Louisiana",202654,8.5
22073,"Ouachita Parish, Louisiana",69824,8.5
22079,"Rapides Parish, Louisiana",59855,7.2
22097,"St. Landry Parish, Louisiana",32232,7.0
22103,"St. Tammany Parish, Louisiana",124195,7.2
22105,"Tangipahoa Parish, Louisiana",62646,6.8
22109,"Terrebonne Parish, Louisiana",49376,3.9
23001,"Androscoggin County, Maine",56632,3.4
23003,"Aroostook County, Maine",32004,6.4
23005,"Cumberland County, Maine",163660,4.0
23011,"Kennebec County, Maine",60639,4.6
23019,"Penobscot County, Maine",74784,8.2
23031,"York County, Maine",111558,4.5
24001,"Allegany County, Maryland",30775,7.5
24003,"Anne Arundel County, Maryland",316488,4.6
24005,"Baltimore County, Maryland",441790,5.2
24009,"Calvert County, Maryland",50645,5.4
24013,"Carroll County, Maryland",90393,4.4
24015,"Cecil County, Maryland",53345,5.0
24017,"Charles County, Maryland",83263,3.1
24021,"Frederick County, Maryland",138304,4.7
24025,"Harford County, Maryland",135187,5.1
24027,"Howard County, Maryland",175565,3.6
24031,"Montgomery County, Maryland",587446,4.8
24033,"Prince George's County, Maryland",514095,6.0
24037,"St. Mary's County, Maryland",59114,3.0
24043,"Washington County, Maryland",71100,5.0
24045,"Wicomico County, Maryland",53155,5.9
24510,"Baltimore city, Maryland",301809,10.1
25001,"Barnstable County, Massachusetts",111226,5.2
25003,"Berkshire County, Massachusetts",68106,6.1
25005,"Bristol County, Massachusetts",299431,7.3
25009,"Essex County, Massachusetts",422461,5.9
25011,"Franklin County, Massachusetts",38968,6.1
25013,"Hampden County, Massachusetts",235142,6.7
25015,"Hampshire County, Massachusetts",91239,6.4
25017,"Middlesex County, Massachusetts",903267,4.0
25021,"Norfolk County, Massachusetts",391791,5.4
25023,"Plymouth County, Massachusetts",275160,6.7
25025,"Suffolk County, Massachusetts",454060,6.6
25027,"Worcester County, Massachusetts",438090,6.9
26005,"Allegan County, Michigan",54322,1.9
26017,"Bay County, Michigan",50263,5.9
26021,"Berrien County, Michigan",76736,8.0
26025,"Calhoun County, Michigan",61233,8.4
26037,"Clinton County, Michigan",39794,5.0
26045,"Eaton County, Michigan",55160,3.8
26049,"Genesee County, Michigan",187621,10.0
26055,"Grand Traverse County, Michigan",49741,4.4
26065,"Ingham County, Michigan",147714,7.5
26073,"Isabella County, Michigan",36775,8.1
26075,"Jackson County, Michigan",69780,6.9
26077,"Kalamazoo County, Michigan",141062,7.3
26081,"Kent County, Michigan",342005,5.3
26087,"Lapeer County, Michigan",41056,6.0
26091,"Lenawee County, Michigan",44589,5.9
26093,"Livingston County, Michigan",99208,4.5
26099,"Macomb County, Michigan",445189,6.6
26103,"Marquette County, Michigan",32370,6.8
26111,"Midland County, Michigan",41909,7.9
26115,"Monroe County, Michigan",73241,5.4
26121,"Muskegon County, Michigan",78860,7.5
26125,"Oakland County, Michigan",660930,5.1
26139,"Ottawa County, Michigan",147854,4.3
26145,"Saginaw County, Michigan",90306,9.1
26147,"St. Clair County, Michigan",77701,7.6
26155,"Shiawassee County, Michigan",32955,4.5
26159,"Van Buren County, Michigan",35651,7.2
26161,"Washtenaw County, Michigan",192500,5.4
26163,"Wayne County, Michigan",806406,11.6
27003,"Anoka County, Minnesota",195143,4.0
27013,"Blue Earth County, Minnesota",39837,4.0
27019,"Carver County, Minnesota",57364,2.7
27037,"Dakota County, Minnesota",238692,4.0
27053,"Hennepin County, Minnesota",713933,4.5
27109,"Olmsted County, Minnesota",83194,4.0
27123,"Ramsey County, Minnesota",294913,5.5
27131,"Rice County, Minnesota",36656,3.2
27137,"St. Louis County, Minnesota",105032,4.7
27139,"Scott County, Minnesota",80477,3.4
27141,"Sherburne County, Minnesota",50096,5.5
27145,"Stearns County, Minnesota",89179,3.9
27163,"Washington County, Minnesota",137851,3.0
27171,"Wright County, Minnesota",73400,4.3
28033,"DeSoto County, Mississippi",90710,7.9
28035,"Forrest County, Mississippi",35669,12.7
28047,"Harrison County, Mississippi",96576,9.9
28049,"Hinds County, Mississippi",112726,8.8
28059,"Jackson County, Mississippi",62360,6.5
28067,"Jones County, Mississippi",29235,6.9
28075,"Lauderdale County, Mississippi",35933,8.0
28081,"Lee County, Mississippi",42054,7.3
28089,"Madison County, Mississippi",54451,6.1
28121,"Rankin County, Mississippi",76339,4.7
29019,"Boone County, Missouri",94449,4.0
29021,"Buchanan County, Missouri",45920,5.3
29031,"Cape Girardeau County, Missouri",39410,2.5
29037,"Cass County, Missouri",52465,3.4
29043,"Christian County, Missouri",39063,6.2
29047,"Clay County, Missouri",128412,4.4
29051,"Cole County, Missouri",38283,5.3
29071,"Franklin County, Missouri",51977,5.0
29077,"Greene County, Missouri",145155,4.3
29095,"Jackson County, Missouri",355256,5.0
29097,"Jasper County, Missouri",61027,3.8
29099,"Jefferson County, Missouri",118901,6.6
29165,"Platte County, Missouri",53579,4.4
29183,"St. Charles County, Missouri",218170,3.4
29187,"St. Francois County, Missouri",29237,8.1
29189,"St. Louis County, Missouri",532929,5.2
29510,"St. Louis city, Missouri",168400,9.5
30013,"Cascade County, Montana",41364,4.0
30029,"Flathead County, Montana",45257,3.2
30031,"Gallatin County, Montana",59517,5.6
30049,"Lewis and Clark County, Montana",33643,2.8
30063,"Missoula County, Montana",63512,4.5
30111,"Yellowstone County, Montana",83164,3.2
31055,"Douglas County, Nebraska",296706,3.8
31109,"Lancaster County, Nebraska",172808,2.9
31153,"Sarpy County, Nebraska",97887,2.3
32003,"Clark County, Nevada",1070991,8.3
32031,"Washoe County, Nevada",235887,6.8
33005,"Cheshire County, New Hampshire",41057,2.8
33009,"Grafton County, New Hampshire",48361,3.0
33011,"Hillsborough County, New Hampshire",231861,4.5
33013,"Merrimack County, New Hampshire",79901,4.0
33015,"Rockingham County, New Hampshire",183093,4.5
33017,"Strafford County, New Hampshire",70254,4.5
34001,"Atlantic County, New Jersey",144653,10.8
34003,"Bergen County, New Jersey",500157,4.5
34005,"Burlington County, New Jersey",244190,8.1
34007,"Camden County, New Jersey",268370,7.4
34009,"Cape May County, New Jersey",46622,8.5
34011,"Cumberland County, New Jersey",70332,5.8
34013,"Essex County, New Jersey",413368,10.2
34015,"Gloucester County, New Jersey",154942,7.7
34017,"Hudson County, New Jersey",381681,7.3
34019,"Hunterdon County, New Jersey",68865,4.2
34021,"Mercer County, New Jersey",194659,7.4
34023,"Middlesex County, New Jersey",427565,5.5
34025,"Monmouth County, New Jersey",330756,5.7
34027,"Morris County, New Jersey",277158,5.0
34029,"Ocean County, New Jersey",274965,5.5
34031,"Passaic County, New Jersey",241140,4.7
34033,"Salem County, New Jersey",31803,6.9
34035,"Somerset County, New Jersey",183901,5.3
34037,"Sussex County, New Jersey",81213,5.5
34039,"Union County, New Jersey",297426,7.4
34041,"Warren County, New Jersey",59863,6.6
35001,"Bernalillo County, New Mexico",334442,6.6
35005,"Chaves County, New Mexico",N,N
35013,"Doña Ana County, New Mexico",97196,7.8
35025,"Lea County, New Mexico",31179,7.0
35031,"McKinley County, New Mexico",30827,17.2
35035,"Otero County, New Mexico",26721,8.1
35043,"Sandoval County, New Mexico",66561,7.9
35045,"San Juan County, New Mexico",55618,8.2
35049,"Santa Fe County, New Mexico",75032,4.5
35061,"Valencia County, New Mexico",32293,8.2
36001,"Albany County, New York",168029,5.1
36005,"Bronx County, New York",672903,10.7
36007,"Broome County, New York",95770,7.2
36009,"Cattaraugus County, New York",35831,6.7
36011,"Cayuga County, New York",40367,4.8
36013,"Chautauqua County, New York",62024,7.0
36015,"Chemung County, New York",40986,4.6
36019,"Clinton County, New York",37398,6.8
36027,"Dutchess County, New York",151225,7.6
36029,"Erie County, New York",474532,4.9
36045,"Jefferson County, New York",59290,8.0
36047,"Kings County, New York",1330964,7.6
36051,"Livingston County, New York",30230,4.9
36053,"Madison County, New York",35065,5.7
36055,"Monroe County, New York",393987,6.6
36059,"Nassau County, New York",719110,4.8
36061,"New York County, New York",968202,6.1
36063,"Niagara County, New York",106600,6.2
36065,"Oneida County, New York",107288,6.4
36067,"Onondaga County, New York",239435,6.3
36069,"Ontario County, New York",57490,4.3
36071,"Orange County, New York",184723,5.0
36075,"Oswego County, New York",57958,8.8
36079,"Putnam County, New York",53723,5.3
36081,"Queens County, New York",1230643,6.8
36083,"Rensselaer County, New York",87198,5.6
36085,"Richmond County, New York",220618,5.4
36087,"Rockland County, New York",159602,6.6
36089,"St. Lawrence County, New York",47257,8.0
36091,"Saratoga County, New York",123953,5.1
36093,"Schenectady County, New York",76829,4.8
36101,"Steuben County, New York",44999,8.0
36103,"Suffolk County, New York",784418,5.0
36105,"Sullivan County, New York",34732,8.7
36109,"Tompkins County, New York",53041,4.7
36111,"Ulster County, New York",91370,5.6
36113,"Warren County, New York",32365,3.6
36117,"Wayne County, New York",46605,8.7
36119,"Westchester County, New York",508877,6.0
37001,"Alamance County, North Carolina",79259,8.2
37019,"Brunswick County, North Carolina",51493,5.2
37021,"Buncombe County, North Carolina",125937,6.3
37023,"Burke County, North Carolina",40547,7.3
37025,"Cabarrus County, North Carolina",100835,5.4
37027,"Caldwell County, North Carolina",38820,6.7
37031,"Carteret County, North Carolina",33969,8.4
37035,"Catawba County, North Carolina",71889,6.4
37037,"Chatham County, North Carolina",34056,5.8
37045,"Cleveland County, North Carolina",45403,11.7
37049,"Craven County, North Carolina",50686,7.0
37051,"Cumberland County, North Carolina",159830,10.6
37057,"Davidson County, North Carolina",79937,8.0
37063,"Durham County, North Carolina",166919,5.1
37067,"Forsyth County, North Carolina",182879,7.4
37071,"Gaston County, North Carolina",99755,7.9
37081,"Guilford County, North Carolina",260858,5.7
37085,"Harnett County, North Carolina",57852,7.6
37089,"Henderson County, North Carolina",50681,2.1
37097,"Iredell County, North Carolina",87394,7.2
37101,"Johnston County, North Carolina",92787,5.6
37109,"Lincoln County, North Carolina",40654,7.7
37119,"Mecklenburg County, North Carolina",574643,6.9
37125,"Moore County, North Carolina",43378,7.3
37127,"Nash County, North Carolina",46116,4.6
37129,"New Hanover County, North Carolina",113764,6.7
37133,"Onslow County, North Carolina",99852,9.7
37135,"Orange County, North Carolina",78737,3.9
37147,"Pitt County, North Carolina",92569,11.6
37151,"Randolph County, North Carolina",70336,5.3
37155,"Robeson County, North Carolina",51803,9.1
37157,"Rockingham County, North Carolina",40574,6.6
37159,"Rowan County, North Carolina",66286,8.7
37161,"Rutherford County, North Carolina",27957,6.6
37171,"Surry County, North Carolina",30682,4.2
37179,"Union County, North Carolina",115157,5.1
37183,"Wake County, North Carolina",557091,5.0
37191,"Wayne County, North Carolina",59090,9.1
37193,"Wilkes County, North Carolina",31061,6.0
37195,"Wilson County, North Carolina",38148,6.6
38015,"Burleigh County, North Dakota",53351,2.1
38017,"Cass County, North Dakota",100309,2.3
38035,"Grand Forks County, North Dakota",42001,2.0
38101,"Ward County, North Dakota",42470,3.7
39003,"Allen County, Ohio",52704,5.3
39007,"Ashtabula County, Ohio",42923,7.9
39009,"Athens County, Ohio",29739,8.8
39013,"Belmont County, Ohio",31425,6.3
39017,"Butler County, Ohio",187670,5.2
39023,"Clark County, Ohio",65785,7.5
39025,"Clermont County, Ohio",104348,4.0
39029,"Columbiana County, Ohio",49514,8.5
39035,"Cuyahoga County, Ohio",639797,9.3
39041,"Delaware County, Ohio",102154,2.5
39043,"Erie County, Ohio",38382,6.0
39045,"Fairfield County, Ohio",76006,5.7
39049,"Franklin County, Ohio",686663,5.9
39055,"Geauga County, Ohio",49372,2.9
39057,"Greene County, Ohio",86725,7.4
39061,"Hamilton County, Ohio",421183,6.8
39063,"Hancock County, Ohio",40729,4.2
39081,"Jefferson County, Ohio",30969,6.7
39085,"Lake County, Ohio",125097,3.6
39089,"Licking County, Ohio",86544,7.5
39093,"Lorain County, Ohio",149788,7.3
39095,"Lucas County, Ohio",215785,8.2
39099,"Mahoning County, Ohio",112881,8.4
39101,"Marion County, Ohio",27743,9.6
39103,"Medina County, Ohio",96289,3.4
39109,"Miami County, Ohio",53344,6.4
39113,"Montgomery County, Ohio",261477,7.2
39119,"Muskingum County, Ohio",41060,6.0
39133,"Portage County, Ohio",85360,6.4
39139,"Richland County, Ohio",55108,6.0
39141,"Ross County, Ohio",33481,4.5
39145,"Scioto County, Ohio",30778,9.7
39151,"Stark County, Ohio",196723,6.3
39153,"Summit County, Ohio",281406,6.0
39155,"Trumbull County, Ohio",94739,5.4
39157,"Tuscarawas County, Ohio",45183,3.9
39165,"Warren County, Ohio",116122,3.8
39169,"Wayne County, Ohio",60157,4.1
39173,"Wood County, Ohio",72155,5.0
40017,"Canadian County, Oklahoma",67871,3.6
40027,"Cleveland County, Oklahoma",146062,5.3
40031,"Comanche County, Oklahoma",65986,6.5
40037,"Creek County, Oklahoma",32056,3.7
40101,"Muskogee County, Oklahoma",27807,5.8
40109,"Oklahoma County, Oklahoma",388751,4.6
40119,"Payne County, Oklahoma",38497,4.2
40125,"Pottawatomie County, Oklahoma",31253,6.9
40131,"Rogers County, Oklahoma",46807,5.4
40143,"Tulsa County, Oklahoma",333537,5.4
40145,"Wagoner County, Oklahoma",39053,7.0
41003,"Benton County, Oregon",44732,6.5
41005,"Clackamas County, Oregon",210235,5.2
41017,"Deschutes County, Oregon",87576,6.1
41019,"Douglas County, Oregon",43571,9.0
41029,"Jackson County, Oregon",97918,7.3
41033,"Josephine County, Oregon",35416,9.8
41035,"Klamath County, Oregon",28948,10.4
41039,"Lane County, Oregon",179081,7.6
41043,"Linn County, Oregon",54662,9.6
41047,"Marion County, Oregon",159563,7.0
41051,"Multnomah County, Oregon",449436,6.6
41053,"Polk County, Oregon",38189,7.1
41059,"Umatilla County, Oregon",36457,7.6
41067,"Washington County, Oregon",307338,6.2
41071,"Yamhill County, Oregon",49851,5.4
42001,"Adams County, Pennsylvania",52995,3.6
42003,"Allegheny County, Pennsylvania",661118,5.6
42005,"Armstrong County, Pennsylvania",31112,10.2
42007,"Beaver County, Pennsylvania",86710,6.2
42011,"Berks County, Pennsylvania",218083,7.9
42013,"Blair County, Pennsylvania",59395,5.4
42017,"Bucks County, Pennsylvania",344987,5.3
42019,"Butler County, Pennsylvania",98531,4.4
42021,"Cambria County, Pennsylvania",62945,7.2
42025,"Carbon County, Pennsylvania",30626,7.0
42027,"Centre County, Pennsylvania",81538,5.1
42029,"Chester County, Pennsylvania",281848,4.1
42033,"Clearfield County, Pennsylvania",35520,8.3
42037,"Columbia County, Pennsylvania",31002,6.0
42039,"Crawford County, Pennsylvania",40650,5.0
42041,"Cumberland County, Pennsylvania",131533,4.1
42043,"Dauphin County, Pennsylvania",141874,6.0
42045,"Delaware County, Pennsylvania",297328,5.8
42049,"Erie County, Pennsylvania",136168,6.5
42051,"Fayette County, Pennsylvania",57469,7.4
42055,"Franklin County, Pennsylvania",77872,6.4
42063,"Indiana County, Pennsylvania",40465,6.9
42069,"Lackawanna County, Pennsylvania",106074,5.7
42071,"Lancaster County, Pennsylvania",279758,4.7
42073,"Lawrence County, Pennsylvania",40260,6.9
42075,"Lebanon County, Pennsylvania",70437,3.9
