GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
18095,"Madison County, Indiana",60006,6.1
18097,"Marion County, Indiana",487974,6.3
18105,"Monroe County, Indiana",77537,5.9
18109,"Morgan County, Indiana",34225,3.6
18127,"Porter County, Indiana",83111,4.1
18141,"St. Joseph County, Indiana",136545,4.1
18157,"Tippecanoe County, Indiana",102655,3.7
18163,"Vanderburgh County, Indiana",88851,4.2
18167,"Vigo County, Indiana",53385,6.6
18177,"Wayne County, Indiana",31868,3.1
19013,"Black Hawk County, Iowa",72609,5.2
19049,"Dallas County, Iowa",48298,2.6
19061,"Dubuque County, Iowa",51060,3.6
19103,"Johnson County, Iowa",86362,3.1
19113,"Linn County, Iowa",125495,3.9
19153,"Polk County, Iowa",270521,3.3
19155,"Pottawattamie County, Iowa",49743,4.2
19163,"Scott County, Iowa",88530,4.0
19169,"Story County, Iowa",51323,2.6
19193,"Woodbury County, Iowa",51810,4.8
20015,"Butler County, Kansas",31923,4.2
20045,"Douglas County, Kansas",70827,3.9
20091,"Johnson County, Kansas",333096,2.9
20103,"Leavenworth County, Kansas",40332,5.6
20161,"Riley County, Kansas",44679,2.9
20173,"Sedgwick County, Kansas",262590,5.8
20177,"Shawnee County, Kansas",89276,4.3
20209,"Wyandotte County, Kansas",81076,6.9
21015,"Boone County, Kentucky",68290,4.1
21029,"Bullitt County, Kentucky",41137,4.1
21037,"Campbell County, Kentucky",48711,3.3
21047,"Christian County, Kentucky",33568,4.6
21059,"Daviess County, Kentucky",49040,3.9
21067,"Fayette County, Kentucky",178846,5.0
21093,"Hardin County, Kentucky",52956,4.5
21111,"Jefferson County, Kentucky",411750,5.6
21117,"Kenton County, Kentucky",86854,4.4
21145,"McCracken County, Kentucky",30112,4.6
21151,"Madison County, Kentucky",47694,5.8
21185,"Oldham County, Kentucky",33324,2.6
21227,"Warren County, Kentucky",66817,4.3
22005,"Ascension Parish, Louisiana",60997,6.8
22015,"Bossier Parish, Louisiana",61011,6.0
22017,"Caddo Parish, Louisiana",109317,7.9
22019,"Calcasieu Parish, Louisiana",102435,5.5
22033,"East Baton Rouge Parish, Louisiana",232756,6.7
22045,"Iberia Parish, Louisiana",30785,13.5
22051,"Jefferson Parish, Louisiana",218928,5.1
22055,"Lafayette Parish, Louisiana",123512,5.2
22057,"Lafourche Parish, Louisiana",45136,4.3
22063,"Livingston Parish, Louisiana",65844,5.3
22071,"Orleans Parish, Louisiana",193554,6.9
22073,"Ouachita Parish, Louisiana",69369,4.0
22079,"Rapides Parish, Louisiana",57981,7.7
22097,"St. Landry Parish, Louisiana",32296,5.9
22103,"St. Tammany Parish, Louisiana",124867,4.5
22105,"Tangipahoa Parish, Louisiana",63759,7.3
22109,"Terrebonne Parish, Louisiana",45921,8.9
23001,"Androscoggin County, Maine",55429,5.2
23003,"Aroostook County, Maine",30800,4.0
23005,"Cumberland County, Maine",168195,3.9
23011,"Kennebec County, Maine",62063,5.3
23019,"Penobscot County, Maine",78024,3.8
23031,"York County, Maine",117669,3.9
24001,"Allegany County, Maryland",29269,8.1
24003,"Anne Arundel County, Maryland",322083,4.5
24005,"Baltimore County, Maryland",446481,5.3
24009,"Calvert County, Maryland",50402,2.9
24013,"Carroll County, Maryland",91377,3.9
24015,"Cecil County, Maryland",55507,7.2
24017,"Charles County, Maryland",82696,3.2
24021,"Frederick County, Maryland",140771,4.7
24025,"Harford County, Maryland",138949,4.7
24027,"Howard County, Maryland",179525,3.3
24031,"Montgomery County, Maryland",599391,4.5
24033,"Prince George's County, Maryland",524353,5.9
24037,"St. Mary's County, Maryland",58469,4.2
24043,"Washington County, Maryland",73460,5.5
24045,"Wicomico County, Maryland",55027,9.4
24510,"Baltimore city, Maryland",307585,7.6
25001,"Barnstable County, Massachusetts",109278,3.5
25003,"Berkshire County, Massachusetts",66030,4.1
25005,"Bristol County, Massachusetts",299974,4.7
25009,"Essex County, Massachusetts",425973,4.0
25011,"Franklin County, Massachusetts",37450,4.9
25013,"Hampden County, Massachusetts",227153,6.5
25015,"Hampshire County, Massachusetts",89602,4.4
25017,"Middlesex County, Massachusetts",920877,3.9
25021,"Norfolk County, Massachusetts",395594,4.2
25023,"Plymouth County, Massachusetts",281486,4.4
25025,"Suffolk County, Massachusetts",471926,6.3
25027,"Worcester County, Massachusetts",435093,4.5
26005,"Allegan County, Michigan",57180,2.9
26017,"Bay County, Michigan",49216,8.0
26021,"Berrien County, Michigan",77813,5.8
26025,"Calhoun County, Michigan",64445,8.0
26037,"Clinton County, Michigan",38839,2.5
26045,"Eaton County, Michigan",55614,5.7
26049,"Genesee County, Michigan",191692,10.3
26055,"Grand Traverse County, Michigan",50111,6.6
26065,"Ingham County, Michigan",152561,6.6
26073,"Isabella County, Michigan",35324,7.8
26075,"Jackson County, Michigan",74907,4.5
26077,"Kalamazoo County, Michigan",139585,4.8
26081,"Kent County, Michigan",350544,4.0
26087,"Lapeer County, Michigan",41448,4.4
26091,"Lenawee County, Michigan",47990,4.5
26093,"Livingston County, Michigan",102329,3.0
26099,"Macomb County, Michigan",450961,5.5
26103,"Marquette County, Michigan",32377,4.6
26111,"Midland County, Michigan",39906,5.6
26115,"Monroe County, Michigan",76061,4.7
26121,"Muskegon County, Michigan",82386,6.9
26125,"Oakland County, Michigan",675068,4.1
26139,"Ottawa County, Michigan",157312,3.3
26145,"Saginaw County, Michigan",88456,7.3
26147,"St. Clair County, Michigan",77631,5.6
26155,"Shiawassee County, Michigan",34186,3.6
26159,"Van Buren County, Michigan",37381,5.0
26161,"Washtenaw County, Michigan",199415,3.6
26163,"Wayne County, Michigan",813827,9.3
27003,"Anoka County, Minnesota",199239,3.0
27013,"Blue Earth County, Minnesota",40287,3.9
27019,"Carver County, Minnesota",59689,1.9
27037,"Dakota County, Minnesota",241639,4.0
27053,"Hennepin County, Minnesota",728740,3.7
27109,"Olmsted County, Minnesota",85702,2.8
27123,"Ramsey County, Minnesota",302902,4.4
27131,"Rice County, Minnesota",35196,3.1
27137,"St. Louis County, Minnesota",102629,5.2
27139,"Scott County, Minnesota",83756,2.8
27141,"Sherburne County, Minnesota",54292,2.1
27145,"Stearns County, Minnesota",91422,4.6
27163,"Washington County, Minnesota",140944,2.6
27171,"Wright County, Minnesota",73935,3.9
28033,"DeSoto County, Mississippi",93105,3.6
28035,"Forrest County, Mississippi",35819,8.1
28047,"Harrison County, Mississippi",100452,11.1
28049,"Hinds County, Mississippi",116454,9.5
28059,"Jackson County, Mississippi",71350,7.3
28067,"Jones County, Mississippi",28841,4.6
28075,"Lauderdale County, Mississippi",32466,3.2
28081,"Lee County, Mississippi",41957,3.8
28089,"Madison County, Mississippi",55591,3.9
28121,"Rankin County, Mississippi",77666,3.7
29019,"Boone County, Missouri",98713,4.8
29021,"Buchanan County, Missouri",42439,5.4
29031,"Cape Girardeau County, Missouri",38744,4.9
29037,"Cass County, Missouri",51845,4.2
29043,"Christian County, Missouri",41715,2.1
29047,"Clay County, Missouri",134464,4.4
29051,"Cole County, Missouri",39813,3.1
29071,"Franklin County, Missouri",52906,5.0
29077,"Greene County, Missouri",149793,3.7
29095,"Jackson County, Missouri",366718,4.5
29097,"Jasper County, Missouri",60284,5.6
29099,"Jefferson County, Missouri",115349,5.0
29165,"Platte County, Missouri",57449,2.5
29183,"St. Charles County, Missouri",217930,2.6
29187,"St. Francois County, Missouri",28670,5.4
29189,"St. Louis County, Missouri",524042,5.0
