GEO_ID,NAME,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed
22063,"Livingston Parish, Louisiana",64704,6.3
22071,"Orleans Parish, Louisiana",183960,12.3
22073,"Ouachita Parish, Louisiana",69812,8.9
22079,"Rapides Parish, Louisiana",59467,8.5
22097,"St. Landry Parish, Louisiana",34888,5.9
22103,"St. Tammany Parish, Louisiana",120181,8.9
22105,"Tangipahoa Parish, Louisiana",56846,11.5
22109,"Terrebonne Parish, Louisiana",51757,6.4
23001,"Androscoggin County, Maine",59034,8.2
23003,"Aroostook County, Maine",34033,8.4
23005,"Cumberland County, Maine",160936,6.3
23011,"Kennebec County, Maine",60638,9.7
23019,"Penobscot County, Maine",79656,8.2
23031,"York County, Maine",109246,6.2
24001,"Allegany County, Maryland",33569,10.4
24003,"Anne Arundel County, Maryland",312671,6.3
24005,"Baltimore County, Maryland",436303,7.6
24009,"Calvert County, Maryland",48401,7.1
24013,"Carroll County, Maryland",94085,6.6
24015,"Cecil County, Maryland",51394,11.5
24017,"Charles County, Maryland",82930,6.1
24021,"Frederick County, Maryland",135435,5.8
24025,"Harford County, Maryland",139427,7.7
24027,"Howard County, Maryland",172042,4.8
24031,"Montgomery County, Maryland",571944,6.7
24033,"Prince George's County, Maryland",509475,9.5
24037,"St. Mary's County, Maryland",60142,5.2
24043,"Washington County, Maryland",75307,8.6
24045,"Wicomico County, Maryland",52987,9.4
24510,"Baltimore city, Maryland",313068,15.5
25001,"Barnstable County, Massachusetts",109477,8.1
25003,"Berkshire County, Massachusetts",67936,9.9
25005,"Bristol County, Massachusetts",291409,10.6
25009,"Essex County, Massachusetts",412264,8.6
25011,"Franklin County, Massachusetts",39523,7.1
25013,"Hampden County, Massachusetts",231027,11.0
25015,"Hampshire County, Massachusetts",90294,8.4
25017,"Middlesex County, Massachusetts",879585,6.7
25021,"Norfolk County, Massachusetts",378467,8.0
25023,"Plymouth County, Massachusetts",272076,8.4
25025,"Suffolk County, Massachusetts",428602,9.9
25027,"Worcester County, Massachusetts",432310,8.3
26005,"Allegan County, Michigan",52579,8.5
26017,"Bay County, Michigan",51062,10.4
26021,"Berrien County, Michigan",73605,9.2
26025,"Calhoun County, Michigan",65916,11.4
26037,"Clinton County, Michigan",38674,6.6
26045,"Eaton County, Michigan",57198,9.8
26049,"Genesee County, Michigan",185960,14.9
26055,"Grand Traverse County, Michigan",48096,8.7
26065,"Ingham County, Michigan",144646,11.2
26073,"Isabella County, Michigan",37496,15.2
26075,"Jackson County, Michigan",73137,11.5
26077,"Kalamazoo County, Michigan",132047,8.9
26081,"Kent County, Michigan",326325,9.1
26087,"Lapeer County, Michigan",42267,12.5
26091,"Lenawee County, Michigan",47014,10.9
26093,"Livingston County, Michigan",97138,7.0
26099,"Macomb County, Michigan",441086,10.4
26103,"Marquette County, Michigan",32819,7.7
26111,"Midland County, Michigan",41172,9.1
26115,"Monroe County, Michigan",74998,9.1
26121,"Muskegon County, Michigan",80257,13.4
26125,"Oakland County, Michigan",657015,8.8
26139,"Ottawa County, Michigan",141536,8.0
26145,"Saginaw County, Michigan",90299,13.6
26147,"St. Clair County, Michigan",78255,12.9
26155,"Shiawassee County, Michigan",32300,11.8
26159,"Van Buren County, Michigan",33776,10.7
26161,"Washtenaw County, Michigan",188053,8.2
26163,"Wayne County, Michigan",814381,16.6
27003,"Anoka County, Minnesota",191923,6.4
27013,"Blue Earth County, Minnesota",37990,5.6
27019,"Carver County, Minnesota",52424,4.8
27037,"Dakota County, Minnesota",234342,6.2
27053,"Hennepin County, Minnesota",682280,6.4
27109,"Olmsted County, Minnesota",82145,2.8
27123,"Ramsey County, Minnesota",283613,8.9
27137,"St. Louis County, Minnesota",102686,8.6
27139,"Scott County, Minnesota",77079,5.2
27141,"Sherburne County, Minnesota",49560,4.9
27145,"Stearns County, Minnesota",85934,5.1
27163,"Washington County, Minnesota",136964,5.1
27171,"Wright County, Minnesota",72128,7.3
28033,"DeSoto County, Mississippi",87201,7.5
28035,"Forrest County, Mississippi",35607,12.6
28047,"Harrison County, Mississippi",97035,11.2
28049,"Hinds County, Mississippi",119114,13.1
28059,"Jackson County, Mississippi",64311,8.4
28067,"Jones County, Mississippi",29521,5.3
28075,"Lauderdale County, Mississippi",37148,13.0
28081,"Lee County, Mississippi",41824,7.0
28089,"Madison County, Mississippi",49397,6.1
28121,"Rankin County, Mississippi",71946,7.4
29019,"Boone County, Missouri",93824,7.2
29021,"Buchanan County, Missouri",45196,8.8
29031,"Cape Girardeau County, Missouri",39396,7.4
29037,"Cass County, Missouri",50692,7.9
29043,"Christian County, Missouri",38949,6.9
29047,"Clay County, Missouri",124491,7.3
29051,"Cole County, Missouri",38505,4.8
29071,"Franklin County, Missouri",52852,8.6
29077,"Greene County, Missouri",147953,8.1
29095,"Jackson County, Missouri",351229,9.4
29097,"Jasper County, Missouri",58801,7.4
29099,"Jefferson County, Missouri",116922,9.3
29165,"Platte County, Missouri",52279,5.5
29183,"St. Charles County, Missouri",203927,5.2
29187,"St. Francois County, Missouri",28724,9.6
29189,"St. Louis County, Missouri",533114,8.6
29510,"St. Louis city, Missouri",164272,14.1
30013,"Cascade County, Montana",40131,6.4
30029,"Flathead County, Montana",47175,12.2
30031,"Gallatin County, Montana",55181,6.5
30063,"Missoula County, Montana",65139,8.0
30111,"Yellowstone County, Montana",82010,5.0
31055,"Douglas County, Nebraska",289223,6.7
31109,"Lancaster County, Nebraska",168652,6.0
31153,"Sarpy County, Nebraska",94028,4.7
32003,"Clark County, Nevada",1030889,12.7
32031,"Washoe County, Nevada",226217,11.0
33005,"Cheshire County, New Hampshire",42018,6.0
33009,"Grafton County, New Hampshire",48610,6.6
33011,"Hillsborough County, New Hampshire",229098,6.1
33013,"Merrimack County, New Hampshire",80447,6.7
33015,"Rockingham County, New Hampshire",175553,6.4
33017,"Strafford County, New Hampshire",70407,9.3
34001,"Atlantic County, New Jersey",147724,14.4
34003,"Bergen County, New Jersey",485819,7.3
34005,"Burlington County, New Jersey",241776,9.8
34007,"Camden County, New Jersey",268507,12.0
34009,"Cape May County, New Jersey",49681,11.4
34011,"Cumberland County, New Jersey",70847,13.9
34013,"Essex County, New Jersey",409551,15.4
34015,"Gloucester County, New Jersey",153694,9.6
34017,"Hudson County, New Jersey",365762,10.0
34019,"Hunterdon County, New Jersey",73821,8.0
34021,"Mercer County, New Jersey",195606,11.5
34023,"Middlesex County, New Jersey",433491,8.4
34025,"Monmouth County, New Jersey",335352,8.9
34027,"Morris County, New Jersey",276510,6.4
34029,"Ocean County, New Jersey",270751,10.0
34031,"Passaic County, New Jersey",255464,10.6
34033,"Salem County, New Jersey",33121,14.4
34035,"Somerset County, New Jersey",178537,6.6
34037,"Sussex County, New Jersey",84508,8.8
34039,"Union County, New Jersey",295379,11.5
34041,"Warren County, New Jersey",59031,9.3
35001,"Bernalillo County, New Mexico",337893,8.5
35005,"Chaves County, New Mexico",28749,9.8
35013,"Doña Ana County, New Mexico",103810,13.9
35025,"Lea County, New Mexico",31028,7.2
35031,"McKinley County, New Mexico",25993,11.1
35035,"Otero County, New Mexico",28149,17.0
35043,"Sandoval County, New Mexico",63496,9.0
35045,"San Juan County, New Mexico",58055,11.6
35049,"Santa Fe County, New Mexico",76186,10.0
35061,"Valencia County, New Mexico",33016,13.7
36001,"Albany County, New York",161945,7.3
36005,"Bronx County, New York",641682,15.5
36007,"Broome County, New York",99495,9.2
36009,"Cattaraugus County, New York",38278,8.6
36011,"Cayuga County, New York",38112,9.9
36013,"Chautauqua County, New York",62485,7.5
36015,"Chemung County, New York",42062,6.4
36019,"Clinton County, New York",38905,7.0
36027,"Dutchess County, New York",158327,9.5
