GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!In labor force,Percent!!EMPLOYMENT STATUS!!Percent Unemployed,median housing price
6001,"Alameda County, California","1,554,720","762,552","792,168","111,341","237,031","231,233","223,332","101,252","84,355",36.9,"352,707","516,893","179,257","5,381","413,030","583,618",70500,548274,39450,95527,49468,85216,28519,75080,86408,46154,87926,42844,1373.0,15.6,47.0,48.5,40.8,32.2,833177,10.1,472900
6007,"Butte County, California","221,539","110,594","110,945","25,674","26,598","22,772","27,440","14,832","15,327",37.1,"32,875","164,755","3,384","1,424","9,952","96,000",40960,85388,38632,56023,29418,42445,28407,40342,51302,40237,51246,27271,213.0,7.9,21.2,25.4,25.8,22.6,101652,15.0,203100
6013,"Contra Costa County, California","1,079,597","527,504","552,093","64,768","133,249","148,823","164,485","74,031","63,436",38.7,"267,419","504,195","93,515","3,865","157,948","401,397",74177,380397,46208,93385,54316,86928,40260,74332,93960,50145,89141,49123,1268.0,10.7,33.4,42.9,41.4,37.0,548414,9.0,381300
6017,"El Dorado County, California","180,561","90,551","90,010","10,482","16,572","20,541","30,383","15,140","13,975",44.7,"22,083","143,665","1,294",682,"8,152","88,109",69973,65558,93611,109299,40720,70848,29927,74686,74575,57197,81401,39292,182.0,4.2,21.7,41.7,30.1,34.9,93142,11.7,335700
6019,"Fresno County, California","947,895","473,298","474,597","80,122","137,024","114,506","114,846","50,676","43,251",31.0,"485,394","300,442","46,362","4,460","91,015","318,451",41627,292280,22296,44868,34157,54974,22258,40951,51181,34990,45214,29103,1511.0,4.5,17.0,18.9,20.1,17.0,427238,15.7,174200
6023,"Humboldt County, California","134,827","67,616","67,211","11,894","19,306","16,987","16,678","10,910","8,697",38.1,"13,831","103,093","2,166","6,483","3,904","61,659",40682,52241,45979,32366,31543,42392,16014,42281,51113,34981,53438,23714,93.0,2.1,26.8,28.9,27.2,23.9,65597,9.9,280400
6025,"Imperial County, California","176,948","91,945","85,003","14,867","23,748","23,178","21,695","11,883","6,436",32.0,"143,738","23,155","4,691","1,100","2,072","56,117",40200,46747,64625,42096,34036,51864,20287,43373,41883,22495,42244,16472,211.0,4.1,13.2,17.9,12.3,8.2,70731,19.5,133800
6029,"Kern County, California","856,158","439,678","416,480","70,073","124,612","109,109","106,473","43,413","39,652",30.8,"430,807","320,390","43,715","6,337","38,735","285,867",45910,255967,35033,66650,37135,57186,32408,48071,54255,32051,49430,29988,1428.0,3.6,13.2,13.7,17.8,14.9,373481,14.0,150200
6031,"Kings County, California","151,364","84,124","67,240","12,282","25,752","21,891","19,677","8,221","5,103",31.7,"78,765","52,084","9,282",923,"5,384","44,193",45935,40376,48921,60895,37940,58038,25391,47358,62702,32880,47470,31550,272.0,1.9,14.0,12.5,11.2,9.7,64390,16.5,161200
6033,"Lake County, California","63,983","33,034","30,949","3,200","7,172","7,112","9,562","5,862","5,303",45.6,"11,521","46,903","1,509",994,838,"35,272",33219,26228,41947,55808,26210,36269,35316,29390,31303,40432,45590,14418,38.0,5.3,14.2,7.6,14.7,29.2,29237,18.6,149300
6037,"Los Angeles County, California","9,962,789","4,913,397","5,049,392","786,503","1,511,122","1,416,988","1,370,540","595,346","486,489",35.2,"4,802,133","2,704,343","799,140","17,223","1,366,001","3,444,644",53001,3231660,38247,63073,42751,70698,24858,55295,62625,38149,59828,37941,2675.0,9.5,33.2,31.0,29.5,25.9,5099118,11.6,399500
6039,"Madera County, California","152,218","73,122","79,096","11,349","20,932","18,972","18,874","7,923","8,439",32.3,"84,063","56,104","4,662","1,783","3,161","49,422",42039,41035,47289,45946,36586,47713,35407,38337,49908,34519,43480,20974,115.0,3.2,6.5,12.8,16.0,12.1,58763,9.8,168800
6041,"Marin County, California","256,069","124,352","131,717","9,964","23,916","35,024","41,392","20,107","20,445",45.2,"40,121","185,361","5,869",513,"15,263","111,083",90535,102427,40288,112767,48451,99014,37755,97490,104546,63612,115513,54983,118.0,8.2,40.3,62.8,59.0,52.8,137946,7.0,752900
6045,"Mendocino County, California","87,428","43,667","43,761","5,232","8,640","10,854","11,688","6,543","7,830",43.0,"20,140","58,596",446,"2,389","1,839","40,336",41369,35203,16887,50972,34762,44796,12050,37700,49355,33688,55967,22251,72.0,5.0,8.5,22.4,27.1,26.2,41453,11.4,297200
6047,"Merced County, California","262,305","132,891","129,414","22,525","35,038","32,773","30,827","13,158","10,991",30.0,"147,210","79,926","8,467",666,"19,598","83,571",43597,76451,33899,48422,39258,49528,24794,40522,54442,33850,49870,25604,71.0,3.0,9.9,14.3,13.8,12.7,116054,17.2,138100
6053,"Monterey County, California","426,762","219,690","207,072","33,519","63,982","54,964","52,911","23,480","22,310",33.0,"240,870","136,216","10,789",523,"26,830","138,871",58109,124171,55124,61757,47365,70988,32652,55827,67165,49116,61788,41865,110.0,5.1,19.9,20.0,24.7,32.4,205582,9.2,318200
6055,"Napa County, California","139,045","68,873","70,172","9,063","16,743","17,658","19,816","9,766","8,658",40.7,"46,015","76,675","2,826",534,"10,625","54,736",68553,48224,99792,100168,64400,66941,50884,74331,79143,48504,79967,43494,104.0,4.2,19.5,30.3,33.7,32.3,74595,9.6,396500
6059,"Orange County, California","3,090,132","1,527,886","1,562,246","230,473","426,114","433,717","450,607","192,105","154,009",36.7,"1,055,225","1,323,800","44,050","5,583","570,584","1,052,535",71983,995368,61924,76902,54816,81292,30708,73631,86424,50822,81653,47348,2271.0,11.1,38.0,39.6,37.7,33.1,1627624,9.0,492200
6065,"Riverside County, California","2,268,783","1,129,796","1,138,987","170,471","296,588","296,155","298,254","124,303","108,519",34.0,"1,055,510","871,815","134,585","10,835","130,057","805,050",52621,685260,48139,63973,45117,60065,26114,56310,62054,39083,59437,32035,3107.0,3.8,18.2,20.2,20.7,23.0,1039812,14.7,220000
6067,"Sacramento County, California","1,450,121","709,996","740,125","107,712","214,249","191,746","197,489","89,216","78,109",35.2,"319,529","686,945","138,461","7,097","211,866","556,314",52667,516645,35003,58404,41350,61058,25827,55720,61633,41971,62388,36870,1231.0,7.3,28.5,29.9,27.6,26.0,717880,14.2,213500
6071,"San Bernardino County, California","2,081,313","1,035,344","1,045,969","173,284","294,337","271,955","275,587","114,747","98,920",32.2,"1,050,372","663,998","174,941","9,380","133,850","700,200",50770,600688,40123,75069,46597,54633,24656,51072,60220,37951,55750,30673,1381.0,4.8,19.0,18.7,18.5,17.2,938548,13.7,206100
6073,"San Diego County, California","3,177,063","1,596,686","1,580,377","276,781","495,765","423,229","427,163","196,687","157,115",34.9,"1,037,685","1,509,733","153,435","12,433","356,437","1,169,225",60330,1079653,47298,80326,44746,66416,34647,62002,72254,44975,69364,41534,2197.0,9.5,36.0,36.8,33.7,33.1,1642502,9.6,386400
6075,"San Francisco County, California","825,863","419,784","406,079","54,042","180,603","135,141","112,252","51,660","49,650",38.5,"126,876","342,637","44,316","1,313","271,745","376,899",73012,346842,23818,61673,51719,97531,24868,100786,74103,33475,86678,59924,22.0,26.2,72.1,63.1,42.4,34.3,495601,7.7,727600
6077,"San Joaquin County, California","702,612","348,986","353,626","52,176","93,611","91,264","91,867","38,283","34,925",33.0,"279,104","244,786","47,868","2,633","98,064","234,605",50722,215761,40019,52958,43185,58281,20363,52132,61461,40556,56652,28620,1006.0,4.8,16.7,18.1,21.4,16.8,321356,16.0,190600
6079,"San Luis Obispo County, California","274,804","138,972","135,832","30,288","31,700","29,647","35,838","18,752","19,794",39.2,"58,998","192,630","4,373",462,"10,669","117,552",60264,101897,69020,47099,47680,65412,21517,58845,77278,47102,73217,39333,335.0,11.7,33.1,33.2,32.5,35.9,139166,6.9,410900
6081,"San Mateo County, California","739,311","364,079","375,232","40,549","103,547","109,966","110,588","52,444","42,545",39.6,"187,658","306,183","18,674",691,"189,981","270,714",81609,258888,52271,92907,52035,95711,36678,88829,92380,61562,97779,57280,314.0,14.8,42.4,50.7,43.9,37.4,411225,7.8,701900
6083,"Santa Barbara County, California","431,249","216,658","214,591","46,408","57,436","50,449","53,249","25,872","21,681",33.8,"188,772","201,995","7,749","1,845","20,692","152,699",61890,141639,56400,65886,48376,70411,21659,64543,77587,49246,71648,36522,255.0,9.1,26.0,27.8,31.8,33.7,213429,9.2,409700
6085,"Santa Clara County, California","1,837,504","923,803","913,701","116,663","276,869","281,504","268,004","111,337","89,738",36.6,"494,226","627,982","44,592","4,140","603,952","636,293",91425,613810,65347,105088,55220,100480,37031,101088,101212,54198,101682,57182,1460.0,15.4,50.7,53.3,45.3,38.4,968305,8.7,634600
6087,"Santa Cruz County, California","266,776","132,544","134,232","26,239","32,299","33,149","36,656","21,713","15,814",37.0,"87,299","156,629","2,757",699,"10,685","104,286",67769,93253,120711,77026,51891,73141,32118,67500,88050,50290,82643,42695,169.0,10.0,33.3,37.9,40.4,38.9,146140,8.1,545700
6095,"Solano County, California","420,757","209,423","211,334","31,238","57,768","52,734","62,074","29,976","25,201",37.2,"104,203","169,048","53,777","1,004","63,864","153,035",62066,141139,56634,76785,44058,70203,32267,61160,78247,47636,70813,40466,479.0,6.4,18.4,24.1,26.6,24.7,214867,13.6,234900
6097,"Sonoma County, California","491,829","241,524","250,305","34,484","62,581","59,892","71,067","36,633","34,935",40.3,"125,660","319,689","6,962","2,477","19,531","204,760",59941,184348,59087,65743,43069,64654,34788,59194,71795,49662,69920,42493,312.0,4.1,24.3,28.4,33.9,36.9,258400,9.5,380100
6099,"Stanislaus County, California","521,726","257,193","264,533","38,750","70,915","66,101","69,824","28,783","26,461",33.3,"224,498","237,445","13,227","2,353","26,954","179,199",46405,167497,46190,44600,40167,52907,25394,47935,55446,37076,50686,30880,183.0,2.7,12.7,17.4,18.0,14.8,244370,17.2,159800
6101,"Sutter County, California","95,022","47,191","47,831","5,874","12,511","12,301","11,377","5,643","4,623",34.4,"27,878","46,358","1,412","1,162","13,813","33,881",47081,31259,95851,51528,37078,54221,21002,49989,60986,33726,58247,26464,23.0,3.4,12.1,19.3,21.6,15.1,43905,12.9,166500
6107,"Tulare County, California","451,977","227,060","224,917","34,439","64,261","54,966","51,716","22,504","19,119",30.0,"279,394","141,095","5,734","2,573","14,591","143,458",40302,132614,19683,50352,33013,51202,22613,42043,46900,31211,41810,25728,544.0,3.9,14.3,12.7,16.6,13.9,197111,13.6,155100
6111,"Ventura County, California","835,981","415,367","420,614","61,210","107,625","108,327","122,025","55,175","44,331",36.5,"344,470","396,882","13,418","1,580","55,500","281,700",71517,267877,51156,99204,54751,78457,41748,71377,90042,52996,81038,46297,278.0,8.8,28.3,31.1,34.0,30.5,440095,10.1,413100
6113,"Yolo County, California","204,118","100,050","104,068","30,080","27,164","24,380","25,418","11,460","9,118",31.4,"63,340","99,667","4,993",808,"27,516","75,265",50594,71568,34219,42564,40311,65544,17619,53065,73333,41149,68568,32325,246.0,15.5,41.6,35.7,38.8,30.6,103289,10.9,280800
6115,"Yuba County, California","72,926","36,405","36,521","6,730","10,525","8,602","9,071","4,174","4,360",31.8,"19,128","42,093","2,402",337,"5,582","27,608",43545,24842,70489,56166,40289,45256,33083,54933,45726,34432,48593,29719,78.0,5.9,14.7,19.9,13.0,19.1,32680,17.6,175800
8001,"Adams County, Colorado","459,598","230,959","228,639","31,339","73,354","67,298","59,974","26,197","19,861",33.0,"176,496","241,721","13,424","1,941","16,879","163,986",55863,153605,33427,60974,43689,61577,34242,59366,63242,40183,61728,39040,793.0,6.3,22.3,21.2,21.6,14.4,242617,8.5,181700
8005,"Arapahoe County, Colorado","595,546","292,644","302,902","36,088","88,953","84,336","84,767","41,033","31,501",36.0,"110,700","374,299","59,070","2,227","31,409","239,685",60443,226527,44203,63790,41375,67671,26485,58882,70031,52266,72767,39020,955.0,13.5,36.6,37.0,42.3,38.7,328747,8.4,230300
8013,"Boulder County, Colorado","305,318","153,777","151,541","32,709","39,960","41,736","42,627","21,305","17,087",35.7,"41,361","240,847","2,749",566,"14,208","128,106",66989,121743,70536,105333,39117,71257,13628,74615,93140,50106,94476,38546,471.0,18.5,55.7,63.5,60.0,48.3,175927,6.5,364100
8031,"Denver County, Colorado","634,265","317,233","317,032","44,195","135,555","95,341","74,089","34,697","31,586",33.7,"199,866","333,741","62,460","3,354","20,201","288,191",50488,270439,31329,57252,34973,59983,28289,56735,56742,34927,62143,40064,1056.0,20.2,54.1,46.3,38.5,36.0,360606,7.2,251200
8035,"Douglas County, Colorado","298,215","148,183","150,032","11,802","32,567","51,389","49,374","18,870","15,035",37.5,"23,721","252,421","3,539",808,"12,212","109,115",95324,105044,80932,112145,82685,96537,44375,99828,107080,54974,107600,50672,1705.0,7.5,57.2,59.0,56.8,38.9,161302,5.3,329200
8041,"El Paso County, Colorado","644,964","323,468","321,496","53,046","94,930","81,411","90,577","42,385","30,506",33.9,"100,691","458,512","38,019","2,719","16,616","256,058",55217,238094,44013,62214,40660,59618,31541,54887,70565,42163,69179,32395,2373.0,7.0,27.2,38.9,38.1,33.2,340699,9.4,214600
8059,"Jefferson County, Colorado","545,358","271,049","274,309","33,476","68,710","72,033","87,595","42,846","37,062",40.8,"81,279","431,527","6,060","3,156","13,188","230,850",67512,221457,44074,76375,50206,70699,24758,72160,80450,46843,83154,40014,807.0,9.1,39.7,47.4,41.7,36.7,309356,7.2,262400
8077,"Mesa County, Colorado","147,848","74,858","72,990","10,137","19,223","17,086","19,752","10,412","9,853",38.6,"20,225","121,963",804,552,663,"63,161",45892,58779,90158,"2,500-",33578,47436,47529,49579,55683,29678,54890,28356,323.0,3.3,20.9,17.9,26.4,22.7,75753,9.0,197700
8123,"Weld County, Colorado","263,691","131,970","131,721","19,930","36,844","35,239","34,517","16,113","13,118",33.5,"74,968","177,242","2,408","1,619","3,817","97,525",55357,92447,37694,64577,37400,62726,23794,60201,69307,39164,66124,30789,1182.0,6.7,25.3,31.4,26.0,21.8,135751,7.3,194400
9001,"Fairfield County, Connecticut","933,835","455,046","478,789","50,522","109,788","126,632","150,521","64,236","50,203",39.8,"166,185","605,569","96,092","1,034","46,702","361,427",79841,334255,41252,108639,48968,97654,31038,80438,102633,51768,102114,41333,634.0,15.5,47.1,51.5,48.9,35.3,504554,9.5,403400
9003,"Hartford County, Connecticut","897,259","434,646","462,613","56,302","114,186","113,668","137,925","63,225","53,459",40.1,"145,127","580,862","108,628","1,018","39,509","373,876",63536,346726,36848,90574,32163,74519,25919,67483,80245,38342,78791,37115,563.0,14.7,40.5,40.7,35.2,26.5,483515,10.3,236900
9005,"Litchfield County, Connecticut","187,530","92,847","94,683","8,847","17,623","22,597","33,686","16,105","13,486",45.6,"9,210","169,875","1,753",376,"3,687","87,408",67658,75593,40174,61133,72472,68426,45565,70525,80462,40467,82678,38212,144.0,9.1,33.2,36.5,32.7,27.5,108956,8.1,248400
