GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
10005,"Sussex County, Delaware","215,622","104,304","111,318","10,785","21,851","21,798","27,250","15,880","18,107",48.3,"20,408","160,511","25,380",591,"2,697","131,435",55065,87305,36041,72367,37162,59005,46167,56478,67823,47972,65196,40219,2166.0,234400,7.7,20.5,26.7,27.1,27.2,98329,6.4
11001,"District of Columbia, District of Columbia","672,228","319,705","352,523","58,537","152,487","96,419","77,353","37,764","32,270",33.8,"71,129","241,855","312,914",959,"25,633","309,596",75628,281787,41522,93877,65973,124801,32609,90877,75805,48571,94846,62840,255.0,551300,23.9,71.2,62.8,46.3,40.4,393578,7.3
12001,"Alachua County, Florida","259,964","125,625","134,339","37,245","39,612","28,788","25,602","13,344","15,697",31.1,"23,895","161,443","51,131","1,059","16,280","114,580",47895,96427,29168,60396,36479,56755,12985,57680,60492,45624,68487,25632,580.0,170900,14.1,46.0,51.4,42.8,37.3,128618,5.4
12005,"Bay County, Florida","181,635","90,001","91,634","11,502","25,971","21,250","25,966","12,197","11,824",39.3,"10,959","139,984","20,105",353,"4,365","100,707",48259,69337,24413,47101,45612,51983,25230,53485,55915,38225,61374,32585,706.0,165600,8.4,22.6,24.7,20.6,26.0,89945,5.2
12009,"Brevard County, Florida","568,088","276,981","291,107","31,457","60,580","58,689","80,093","46,800","41,314",47.3,"54,828","427,777","55,793","1,842","12,817","273,134",50416,225682,36233,56022,45258,53219,22270,56321,60265,43434,61459,34774,1609.0,158800,6.8,31.1,31.0,28.3,26.0,259330,6.1
12011,"Broward County, Florida","1,896,425","921,056","975,369","115,356","255,877","253,361","280,653","132,552","113,368",40.2,"531,735","731,646","520,587","2,887","67,004","818,697",53926,673870,43736,62192,54643,59298,29578,56471,63195,36892,62372,36076,1494.0,222900,9.1,32.6,35.3,33.3,27.3,1023357,7.8
12015,"Charlotte County, Florida","173,115","83,902","89,213","5,691","11,675","13,682","20,536","14,750","14,468",57.9,"11,796","146,247","9,405",461,"2,183","101,781",45492,72671,33498,51525,19411,47119,39446,41177,50786,42109,55335,27098,947.0,167300,1.7,12.4,12.7,19.1,25.7,67533,8.3
12019,"Clay County, Florida","203,967","99,848","104,119","11,270","24,623","26,076","30,481","15,518","11,287",39.6,"19,485","150,348","21,058",254,"6,792","78,172",58676,71733,56922,66136,54987,59031,41308,61413,67665,46098,67618,30876,902.0,166900,7.1,18.4,27.8,25.3,21.9,99972,10.3
12021,"Collier County, Florida","357,305","175,309","181,996","17,945","34,989","34,870","43,407","23,925","23,503",49.8,"95,894","228,367","23,716",725,"4,034","206,384",62126,134906,40746,75094,42408,70645,27966,52033,68905,64547,71195,41379,3078.0,315000,9.0,27.4,29.1,33.9,40.8,159587,4.8
12031,"Duval County, Florida","913,010","442,711","470,299","64,848","147,443","116,038","121,800","59,439","54,358",36.1,"81,462","497,072","264,789","1,089","41,098","398,563",49554,343467,34883,65974,44642,56694,31498,49900,60019,41458,61188,34187,2606.0,153300,11.9,30.6,31.0,29.1,25.1,478180,7.0
12033,"Escambia County, Florida","311,003","155,090","155,913","28,437","44,451","33,353","38,305","21,421","19,082",37.1,"17,316","202,588","64,340",836,"7,776","139,055",46001,116814,33607,35853,29307,51849,33280,46743,51637,40987,59090,32370,807.0,124400,8.7,25.8,27.6,25.5,22.5,156406,6.6
12035,"Flagler County, Florida","105,392","50,180","55,212","4,563","8,739","11,403","12,203","8,257","6,934",50.0,"10,682","78,795","11,048",325,"2,360","50,061",48864,39281,40582,112643,42477,50269,35464,55585,47365,44966,55895,29273,587.0,181100,0.7,29.5,28.9,23.7,26.2,42353,8.6
12055,"Highlands County, Florida","99,491","48,636","50,855","5,459","7,768","8,622","10,860","7,424","6,513",52.7,"18,669","68,190","9,604",142,"1,163","54,819",34242,41116,20801,221392,28269,39155,4580,33507,32522,35908,41606,23280,156.0,92600,0.0,10.2,17.7,17.7,19.2,35066,8.6
12057,"Hillsborough County, Florida","1,349,050","657,653","691,397","91,809","202,992","183,055","185,033","84,953","74,724",36.8,"363,767","685,256","209,476","1,468","51,885","560,438",51725,503154,34671,71616,41985,61968,25289,55381,61535,38637,62221,34867,5679.0,183000,11.6,33.9,37.2,32.4,26.1,690360,6.8
