GEO_ID,NAME,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher
37063,"Durham County, North Carolina",27.4,64.0,60.6,46.1,50.7
37067,"Forsyth County, North Carolina",14.3,40.9,40.6,38.9,38.3
37069,"Franklin County, North Carolina",10.2,28.2,35.2,27.8,22.8
37071,"Gaston County, North Carolina",12.4,28.0,34.5,32.3,23.6
37081,"Guilford County, North Carolina",10.8,45.1,41.3,37.4,37.9
37085,"Harnett County, North Carolina",5.1,26.3,25.2,23.0,20.5
37089,"Henderson County, North Carolina",6.9,39.1,32.0,41.4,41.1
37097,"Iredell County, North Carolina",11.4,35.3,38.5,36.4,28.2
37101,"Johnston County, North Carolina",10.4,35.1,27.1,33.4,20.2
37105,"Lee County, North Carolina",5.8,23.1,27.4,25.0,17.8
37109,"Lincoln County, North Carolina",2.8,42.6,23.5,30.3,27.0
37119,"Mecklenburg County, North Carolina",20.6,55.5,51.2,49.8,40.5
37125,"Moore County, North Carolina",15.8,42.9,44.3,37.5,38.2
37127,"Nash County, North Carolina",11.6,23.1,32.1,18.9,19.3
37129,"New Hanover County, North Carolina",18.1,42.4,44.6,48.2,42.0
37133,"Onslow County, North Carolina",2.3,28.2,28.5,34.1,20.3
37135,"Orange County, North Carolina",17.9,68.0,70.7,61.3,58.1
37141,"Pender County, North Carolina",19.6,34.7,50.1,24.8,31.7
37147,"Pitt County, North Carolina",14.0,36.9,45.2,36.5,29.2
37151,"Randolph County, North Carolina",8.6,19.6,18.2,21.0,17.9
37155,"Robeson County, North Carolina",5.2,12.6,16.3,18.5,16.1
37157,"Rockingham County, North Carolina",5.5,16.3,29.6,15.4,10.4
37159,"Rowan County, North Carolina",6.3,20.6,30.9,23.7,16.6
37171,"Surry County, North Carolina",10.3,19.2,20.3,15.2,15.5
37179,"Union County, North Carolina",11.0,40.8,44.4,38.8,27.9
37183,"Wake County, North Carolina",22.8,61.1,62.4,55.7,45.8
37191,"Wayne County, North Carolina",5.7,17.4,24.7,16.4,17.1
37193,"Wilkes County, North Carolina",3.2,17.8,17.5,13.6,12.9
37195,"Wilson County, North Carolina",13.7,22.7,24.7,24.8,17.2
38015,"Burleigh County, North Dakota",21.6,43.3,41.9,36.5,30.1
38017,"Cass County, North Dakota",23.1,54.9,48.8,40.3,33.0
38035,"Grand Forks County, North Dakota",18.0,47.9,29.0,43.5,32.3
38101,"Ward County, North Dakota",6.1,28.1,29.8,28.5,21.0
39003,"Allen County, Ohio",8.0,19.2,30.4,16.7,18.0
39007,"Ashtabula County, Ohio",1.4,12.9,17.1,15.2,17.7
39013,"Belmont County, Ohio",7.0,21.5,33.6,18.6,16.5
39017,"Butler County, Ohio",9.1,33.9,41.8,33.1,26.6
39023,"Clark County, Ohio",9.6,23.1,29.6,17.7,17.5
39025,"Clermont County, Ohio",7.8,33.0,33.3,32.8,24.2
39029,"Columbiana County, Ohio",1.7,20.6,21.1,12.2,15.8
39035,"Cuyahoga County, Ohio",16.6,47.6,42.2,35.2,30.7
39041,"Delaware County, Ohio",19.2,46.3,69.1,58.4,49.0
39043,"Erie County, Ohio",20.4,35.0,33.6,22.4,28.2
39045,"Fairfield County, Ohio",9.0,24.9,39.1,31.0,24.2
39049,"Franklin County, Ohio",14.8,48.0,45.5,40.6,34.5
39055,"Geauga County, Ohio",8.7,41.0,57.6,45.0,35.1
39057,"Greene County, Ohio",13.8,41.5,43.5,42.2,36.2
39061,"Hamilton County, Ohio",17.3,48.4,50.1,40.3,31.6
39063,"Hancock County, Ohio",17.0,36.6,44.3,31.5,26.4
39085,"Lake County, Ohio",12.6,41.0,41.7,31.6,25.6
39089,"Licking County, Ohio",6.5,29.9,39.2,34.6,20.6
39093,"Lorain County, Ohio",13.4,31.7,36.4,28.6,27.4
39095,"Lucas County, Ohio",14.2,32.6,34.2,31.0,24.6
39099,"Mahoning County, Ohio",16.1,31.8,32.8,33.0,23.1
39101,"Marion County, Ohio",6.1,23.2,21.0,14.3,12.4
39103,"Medina County, Ohio",13.8,39.9,44.5,37.1,27.9
39109,"Miami County, Ohio",11.8,24.7,35.9,31.6,21.3
39113,"Montgomery County, Ohio",11.4,34.3,34.8,33.1,30.4
39119,"Muskingum County, Ohio",15.1,25.5,34.5,20.2,15.6
39133,"Portage County, Ohio",11.3,48.1,44.1,34.2,27.1
39139,"Richland County, Ohio",12.7,17.4,21.1,19.0,15.0
39141,"Ross County, Ohio",9.8,14.6,27.4,14.1,13.5
39145,"Scioto County, Ohio",10.5,20.2,24.9,18.9,23.7
39151,"Stark County, Ohio",15.2,29.8,27.2,25.7,22.5
39153,"Summit County, Ohio",11.6,40.9,44.4,36.1,30.7
39155,"Trumbull County, Ohio",8.6,21.1,26.0,19.9,20.8
39157,"Tuscarawas County, Ohio",4.8,25.3,28.2,20.6,16.0
39159,"Union County, Ohio",9.4,42.5,54.4,45.6,22.4
39165,"Warren County, Ohio",17.1,43.8,56.9,45.9,35.9
39169,"Wayne County, Ohio",5.2,31.9,33.2,22.0,20.2
39173,"Wood County, Ohio",17.0,44.1,42.9,36.9,24.9
40017,"Canadian County, Oklahoma",4.7,34.4,37.9,32.9,24.2
40027,"Cleveland County, Oklahoma",12.2,39.6,40.1,33.4,33.7
40031,"Comanche County, Oklahoma",10.2,23.3,28.5,25.2,23.2
40037,"Creek County, Oklahoma",4.6,21.1,24.6,19.1,19.3
40101,"Muskogee County, Oklahoma",6.0,17.7,19.0,20.4,21.1
40109,"Oklahoma County, Oklahoma",9.8,36.3,42.0,33.5,32.4
40119,"Payne County, Oklahoma",12.3,38.4,44.2,38.6,40.4
40125,"Pottawatomie County, Oklahoma",3.5,10.7,23.6,21.4,21.0
40131,"Rogers County, Oklahoma",9.3,17.7,26.8,27.7,26.7
40143,"Tulsa County, Oklahoma",11.0,34.1,37.1,35.2,32.7
40145,"Wagoner County, Oklahoma",7.2,22.2,34.3,29.5,24.1
41003,"Benton County, Oregon",9.6,52.9,55.0,60.7,52.6
41005,"Clackamas County, Oregon",6.9,41.2,47.1,36.1,39.8
41017,"Deschutes County, Oregon",10.8,45.0,47.6,45.9,41.6
41019,"Douglas County, Oregon",4.5,12.7,28.5,16.5,19.6
41029,"Jackson County, Oregon",6.5,23.0,36.5,29.6,31.0
41033,"Josephine County, Oregon",3.5,20.0,19.4,23.6,20.4
41035,"Klamath County, Oregon",6.1,12.4,34.2,20.9,14.5
41039,"Lane County, Oregon",7.1,36.8,30.5,34.1,38.6
41043,"Linn County, Oregon",6.2,22.3,21.1,20.1,18.8
41047,"Marion County, Oregon",5.6,24.0,29.6,23.7,27.4
41051,"Multnomah County, Oregon",18.2,52.4,53.9,44.0,40.2
41053,"Polk County, Oregon",8.2,25.0,43.2,32.4,36.4
41059,"Umatilla County, Oregon",10.1,19.4,19.4,22.3,17.3
41067,"Washington County, Oregon",16.6,46.2,52.2,44.2,43.9
41071,"Yamhill County, Oregon",2.5,32.1,40.5,24.0,36.5
42001,"Adams County, Pennsylvania",10.7,24.0,23.6,24.5,24.4
42003,"Allegheny County, Pennsylvania",21.0,55.9,57.1,42.1,32.1
42005,"Armstrong County, Pennsylvania",3.1,27.1,18.4,12.9,12.5
42007,"Beaver County, Pennsylvania",8.1,35.8,36.1,27.5,21.4
42011,"Berks County, Pennsylvania",10.3,30.4,31.2,27.3,22.6
42013,"Blair County, Pennsylvania",9.7,29.0,28.5,21.7,16.8
42017,"Bucks County, Pennsylvania",22.4,48.4,52.4,45.6,33.7
42019,"Butler County, Pennsylvania",12.4,39.1,51.6,40.7,26.9
42021,"Cambria County, Pennsylvania",14.6,28.5,31.9,24.5,16.1
42025,"Carbon County, Pennsylvania",2.2,24.2,29.2,13.0,17.3
42027,"Centre County, Pennsylvania",10.4,55.5,49.7,41.5,42.0
42029,"Chester County, Pennsylvania",18.0,59.4,67.6,57.8,45.0
42033,"Clearfield County, Pennsylvania",7.4,25.4,29.3,17.7,13.6
