GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoNative Hawaiian and Other Pacific Islander alone,Total housing units
06083,"Santa Barbara County, California","446,475","224,964","221,511","43,042","59,833","51,886","47,608","24,483","25,302",34.6,"210,764","185,867","8,009",526,"23,010",603,"159,771"
06085,"Santa Clara County, California","1,885,508","963,131","922,377","110,196","297,064","275,037","255,608","126,199","104,673",38.2,"471,518","529,809","43,123","2,547","738,742","6,924","693,284"
06087,"Santa Cruz County, California","267,792","133,339","134,453","25,317","31,915","32,117","31,861","16,518","17,884",39.0,"92,149","145,696","1,788",59,"12,659",0,"106,541"
06089,"Shasta County, California","182,139","89,509","92,630","9,512","22,042","22,634","20,439","12,485","12,937",41.8,"20,697","137,216","2,191","2,779","5,963",95,"79,713"
06095,"Solano County, California","451,716","225,948","225,768","27,955","63,946","61,834","53,981","30,321","28,586",38.9,"129,083","154,614","55,563",656,"71,377","2,899","163,340"
06097,"Sonoma County, California","485,887","238,756","247,131","26,722","59,668","65,106","59,393","32,264","35,732",42.7,"137,610","292,356","7,621",606,"21,832","1,880","205,898"
06099,"Stanislaus County, California","552,999","276,980","276,019","35,454","79,604","72,732","64,636","33,911","27,256",34.7,"273,597","206,376","14,716","1,406","31,383","3,608","183,911"
06101,"Sutter County, California","99,063","50,826","48,237","6,913","13,252","13,051","11,496","5,610","6,379",36.8,"32,595","40,522","1,528",633,"14,643","1,191","34,643"
06103,"Tehama County, California","65,498","33,152","32,346","4,230","7,123","7,015","7,347","3,315","5,243",40.7,"17,875","42,189",945,541,"1,199",102,"27,428"
06107,"Tulare County, California","477,054","240,240","236,814","33,662","66,937","62,299","52,338","24,991","22,174",31.7,"318,021","124,050","7,163","2,301","17,400",642,"152,729"
06111,"Ventura County, California","839,784","418,376","421,408","52,748","112,582","107,254","107,440","54,975","56,522",39.0,"369,992","357,831","13,091","1,455","60,224","1,088","294,645"
06113,"Yolo County, California","216,986","105,609","111,377","29,486","28,485","26,925","23,576","11,977","9,978",32.7,"70,760","95,588","5,103",709,"32,793",568,"81,252"
06115,"Yuba County, California","83,421","41,750","41,671","5,675","12,071","11,887","9,072","3,188","5,414",34.1,"25,413","40,937","3,254",810,"6,652",303,"29,973"
08001,"Adams County, Colorado","522,140","265,232","256,908","34,068","83,783","80,841","64,985","26,856","29,462",34.8,"218,396","242,156","17,578","2,063","21,415",848,"191,383"
08005,"Arapahoe County, Colorado","654,900","327,097","327,803","37,806","102,022","98,041","83,911","35,533","41,488",37.2,"134,726","369,913","68,706","1,274","39,760","1,499","265,940"
08013,"Boulder County, Colorado","329,543","166,272","163,271","31,171","45,392","42,889","41,778","20,383","20,471",38.2,"46,380","249,640","2,844",403,"13,752","1,104","143,145"
08014,"Broomfield County, Colorado","75,325","37,295","38,030","4,196","11,281","11,274","10,728","4,162","4,664",38.9,"10,165","55,449",865,162,"5,414",0,"31,800"
08031,"Denver County, Colorado","711,463","358,282","353,181","43,081","164,316","120,372","83,108","33,902","33,368",35.1,"206,207","381,270","59,195","1,854","23,308",439,"351,829"
08035,"Douglas County, Colorado","368,990","186,083","182,907","19,100","43,965","55,637","56,389","25,264","22,433",39.3,"35,962","286,088","4,602",818,"20,297",257,"140,240"
08041,"El Paso County, Colorado","737,867","374,764","363,103","57,007","119,039","100,639","82,578","44,881","40,442",34.9,"136,119","485,957","38,958","1,592","18,827","2,272","295,291"
08059,"Jefferson County, Colorado","579,581","291,948","287,633","30,239","89,105","86,366","72,114","39,411","39,951",40.2,"92,099","436,865","6,237",813,"16,505",300,"250,916"
08069,"Larimer County, Colorado","362,533","181,136","181,397","36,613","52,932","48,632","39,271","21,943","20,940",36.4,"45,017","289,433","2,411",805,"7,303",310,"162,058"
08077,"Mesa County, Colorado","157,335","79,377","77,958","9,831","18,307","21,498","17,014","9,056","11,921",41.1,"24,030","123,950",872,513,"1,485",118,"68,657"
08101,"Pueblo County, Colorado","169,622","83,908","85,714","10,844","21,535","21,612","19,898","10,198","11,507",40.0,"74,084","85,584","2,449",360,"1,320",0,"72,983"
08123,"Weld County, Colorado","340,036","172,823","167,213","21,083","50,203","50,083","41,031","17,352","20,301",35.2,"104,189","213,043","4,973",550,"5,019",161,"124,914"
09001,"Fairfield County, Connecticut","959,768","470,429","489,339","60,626","111,773","123,501","131,317","70,896","67,171",41.2,"204,687","549,962","103,628",605,"51,559",87,"380,697"
09003,"Hartford County, Connecticut","896,854","438,546","458,308","56,250","119,253","117,642","111,555","62,423","61,643",40.0,"174,409","511,903","116,612",612,"53,022",0,"386,152"
09005,"Litchfield County, Connecticut","185,000","92,621","92,379","8,769","20,656","21,481","23,967","13,655","17,803",47.6,"15,041","155,691","2,825",0,"3,772",0,"87,816"
09007,"Middlesex County, Connecticut","164,759","80,846","83,913","10,357","18,842","18,662","21,828","14,667","13,125",46.7,"11,770","131,299","6,243",0,"5,676",0,"76,486"
09009,"New Haven County, Connecticut","863,700","418,954","444,746","58,373","115,022","107,941","107,826","57,983","63,471",40.5,"174,191","505,633","107,563",615,"36,197",554,"370,779"
09011,"New London County, Connecticut","268,805","133,949","134,856","18,334","34,801","32,263","31,913","21,046","19,366",41.6,"32,278","194,620","12,344","1,000","11,355",62,"123,388"
09013,"Tolland County, Connecticut","150,293","74,783","75,510","18,952","15,449","15,419","18,902","9,254","10,659",37.9,"9,899","120,812","4,730",727,"7,158",0,"61,274"
09015,"Windham County, Connecticut","116,418","57,917","58,501","7,812","15,067","14,217","15,129","7,903","9,713",40.8,"14,838","92,460","1,308",62,"1,272",0,"49,735"
10001,"Kent County, Delaware","184,149","88,846","95,303","11,513","25,107","22,309","19,738","11,331","13,024",38.8,"14,446","106,175","46,383",400,"4,435",0,"75,093"
